,ANO,COMBUSTÍVEL,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,TOTAL
94,2011,GLP - Até P13 (m3),1105697.6903774382,1519586.9992622219,1103679.280857152,921095.366815345,1592173.9175250449,1696284.116935134,1220585.046778992,1519010.0597969117,2642029.619294183,1452409.3752598467,1137798.231359395,1636439.306718746,1042856.2317732135
95,2011,GLP - Outros (m3),330896.9605857456,348107.8092527647,509659.66156770795,366488.84227105137,333155.7006728391,456836.4547368887,645770.1772553776,389940.8191905381,490435.82517083,1590923.9887231553,600298.5513295268,476402.61585330364,606046.5499120086
96,2011,QUEROSENE DE AVIAÇÃO (m3),787595.942,1647347.1690000002,3137324.917,831577.026,666634.183,914056.973,710279.737,674942.45,881874.907,1055784.025,624645.662,1090116.233,888530.83
97,2011,QUEROSENE ILUMINANTE (m3),1655.325,1301.3,1174.618,2334.35,4537.0019999999995,1167.1,1139.992,3317.5190000000002,2071.98,3414.188,3368.899,1490.141,1577.454
98,2011,ÓLEO COMBUSTÍVEL (m3),305508.364,1028400.084,666751.163,1087996.647,346902.519,781994.985,720623.923,397929.85699999996,448569.537,322483.358,318445.919,623840.021,294356.045
99,2011,ÓLEO DIESEL (m3),8046980.393938636,5788641.652262946,6812217.43413785,7825557.948466878,5919076.1038602125,5002293.893184083,8365784.410524868,10756030.223271899,6938922.391596152,7282037.112011255,15864039.266661555,9244587.178481506,6681655.157602134
100,2012,ETANOL HIDRATADO (m3),1247786.9909571086,6211102.745833367,1549117.0799529809,926574.2572617022,1064745.8728868482,946431.1270978381,1203025.476395422,1534268.6148674916,866673.2993320872,825031.4808948719,1039487.1496351343,1347213.1495628492,938903.3633222978
101,2012,GASOLINA C (m3),3727546.598,5528635.311000001,7521510.773,4885604.204,5732883.644,13079751.899999999,6505733.033,5749356.938999999,7163518.873,4385262.315,4389442.722,5802913.171,4923269.967
102,2012,GASOLINA DE AVIAÇÃO (m3),23817.166167870917,13733.718689997733,9283.20825112799,14320.591931321,10338.629660991262,13881.242378412007,12113.094512210537,7776.087179587105,7183.780645090666,10643.10386413541,11111.617444657611,10600.33330848604,7718.271966111778
103,2012,GLP (m3),1391279.2578012366,1476651.597244876,2069778.285562883,1490267.7881082161,1247860.6046193123,2039419.9808319411,2343843.583429594,1617132.0634406817,2001688.5463531986,4208831.424867341,2087340.1795280138,1633369.1790384816,2245535.074391611
104,2012,GLP - Até P13 (m3),1632838.8420926835,1046275.4440965006,1114854.5776109048,1526507.565166807,1110191.8036465074,913061.7758242047,1590843.6760314992,1687781.0622084662,1232466.5476111583,1499207.0897673876,2622195.4231017083,1458101.7882169248,1137783.9843353906
105,2012,GLP - Outros (m3),495585.19470309245,612696.2322989269,345003.8137047354,361797.0196339702,543270.7203960755,380075.9844617088,334798.82879510743,448576.30480044015,656062.5212211327,384665.5158295244,502481.4565858075,1586636.0017656328,629238.3913110886
106,2012,QUEROSENE DE AVIAÇÃO (m3),932996.838,805408.292,1820587.337,3220913.345,890222.1340000001,723128.556,975857.983,756990.181,720743.054,914032.791,1079611.373,652554.066,1090939.148
107,2012,QUEROSENE ILUMINANTE (m3),1199.2,1389.412,949.876,891.02,1839.744,3984.222,1140.6,754.196,2209.4359999999997,1543.014,3124.7019999999998,3000.3019999999997,1136.3
108,2012,ÓLEO COMBUSTÍVEL (m3),402509.967,331858.347,1086155.446,568754.554,1152659.235,325558.24199999997,743186.191,780944.6649999999,385398.877,523922.295,417620.774,460909.418,688695.7749999999
109,2012,ÓLEO DIESEL (m3),7143147.73454277,8691260.897107223,6296022.0341973975,7443078.064978724,8452500.090011528,6228178.02871592,5350326.438023614,8851362.793924792,11329360.494751962,7538389.040092738,7720156.692539122,16846211.92748554,9910733.105628645
110,2013,ETANOL HIDRATADO (m3),1127876.241,1627767.291,7128666.5649999995,1975827.793,1027521.46,1117347.2480000001,1096031.098,1425556.61,1848649.3190000001,1076840.851,1030902.2699999999,1298792.5590000001,1728146.6190000002
111,2013,GASOLINA C (m3),5175420.956,3920028.921,5764523.695,7857932.517,5186507.91,5995950.24,13365838.842,6690607.574,6007218.859,7557042.495,4658906.04,4598002.549,6074492.586
112,2013,GASOLINA DE AVIAÇÃO (m3),7833.09587093578,22482.43569845871,13923.362547676641,9130.456234486774,15918.58919184468,11483.558389650858,14159.858173790992,11992.401782379779,7521.593480087824,7414.283078739293,9834.03230605329,11677.766032274027,10497.273213621353
113,2013,GLP (m3),2312777.9609922916,1445551.3618225239,1503916.719121104,2116136.3464504485,1544085.393140101,1284905.166081376,2094757.7265499544,2410677.9528582934,1671630.5057497828,2026366.333681453,4295217.568566318,2173401.6392596704,1673543.4380455285
114,2013,GLP - Até P13 (m3),1489933.2771739126,1155946.4347826093,1661075.3188405791,1072096.4492753628,1129679.9057971009,1534805.268115942,1132517.0760869558,930305.5815217383,1613625.6123188406,1713162.873188406,1253529.1105072456,1521072.5471014497,2636009.5452898555
115,2013,GLP - Outros (m3),1659208.0232764627,683468.3620857577,517597.00326291914,651702.6421517122,373454.91254716006,374236.8133240025,581331.0783345056,411568.31705314503,354599.5845596359,481132.1142311143,697515.0796698846,418101.39524253685,505293.78658000636
116,2013,QUEROSENE DE AVIAÇÃO (m3),1042081.566,926376.807,781401.319,1819337.2809999997,3238389.3740000003,856205.881,702597.991,966507.636,731073.509,709961.0380000001,902279.639,1125179.599,648259.3659999999
117,2013,QUEROSENE ILUMINANTE (m3),821.783,917.701,1108.334,782.117,780.785,1339.212,3314.125,883.2239999999999,721.342,1924.114,1451.6109999999999,2658.238,2142.45
118,2013,ÓLEO COMBUSTÍVEL (m3),1083232.875,417264.687,399051.783,1323562.956,841117.285,1502735.864,439715.215,685297.942,982606.117,529577.402,644251.245,454598.13899999997,678081.202
119,2013,ÓLEO DIESEL (OUTROS ) (m3),6671.0380000000005,3167.741,3478.432,3274.9030000000002,2962.295,2428.33,3672.2380000000003,2795.976,3417.635,14750.605,16346.198,5017.709,4664.408
120,2013,ÓLEO DIESEL (m3),10436212.217,7413969.523,9037162.218999999,6619330.887,7815019.149999999,9055912.477,6567325.026,5608092.683,9283415.276,11865706.89,7958846.524,7906145.191,17577852.105
